,fem_mean,man_mean,mean,region_name,sibl_mean
91,615194.2889855072,734453.3608421043,27036,Чувашская республика - Чувашия,627852.503799682
98,623299.5038356164,640476.5290909092,28159,Курганская область,605394.4933647054
92,1835943.1692405064,1390214.1058263292,68871,Республика Саха (Якутия),1442196.4898883924
82,726243.7597674421,672538.5397333335,26660,Тамбовская область,662142.1270091323
33,1008293.44,872239.7514052286,42315,Амурская область,848332.3640470596
11,735984.1036842106,489311.29726315767,25430,Карачаево-Черкесская республика,450471.54061224475
53,689284.1562025317,608309.423647059,27724,Костромская область,592273.433692308
58,1443309.8746341467,955378.7446376814,85631,Магаданская область,944442.8064874548
9,939739.1606666668,524132.4209240926,25776,Кабардино-Балкарская Республика,588925.1255434782
24,767745.5801017819,641307.4607994116,25519,Алтайский край,622026.7228424454
102,1623041.379,1345800.2903225806,,Ненецкий автономный округ,1540034.3190476203
18,1591488.113333333,5828666.092714291,35172,Республика Татарстан,4835114.003760254
32,937403.2514999999,1197464.9015875915,47153,Хабаровский край,1089726.7896787154
96,572697.9677631579,1007854.1782180847,31852,Белгородская область,866059.2206412825
64,1590608.5034983507,2223843.5978571433,51938,Московская область,1953085.4714337895
90,276615.18615384615,369256.0181155016,26177,Чеченская республика,186057.4351336147
21,856429.5703414635,744513.9565652953,37874,Республика Хакасия,736256.3687288134
79,720005.9631683169,500175.8897468353,26823,Саратовская область,523626.14555555576
38,834545.6588636365,586293.8409696961,33630,Астраханская область,608269.4971271923
48,1199741.0425806448,2836040.3674409455,73896,Камчатский край,2299398.502263611
41,760037.1679054055,1064537.3237837837,30894,Волгоградская область,920302.2452892577
88,620589.5808749998,909298.5313647646,28353,Ульяновская область,804192.8786641932
1,992254.9035534686,1128915.8982320018,60421,Санкт-Петербург,1034405.7317555007
77,756584.1261386137,855062.2906884056,33754,Самарская область,841975.0205308457
69,765918.8910655734,700948.7249999995,32613,Омская область,697818.1970729975
110,379039.736,596005.7914285715,31814,Севастополь*,505603.26833333337
6,612213.3901234568,653090.9488095237,30953,Республика Алтай,567881.908087349
45,884744.0804166672,1294479.321511811,42647,Иркутская область,1129253.2733920186
97,813533.8245023699,690294.2315514017,38197,Калужская область,694103.8338833742
70,547132.0365517242,666697.6379836507,27476,Орловская область,570243.8019734338
51,606506.509816514,776108.1172195892,27932,Кировская область,696211.0830461166
57,671709.3766666666,727583.3502689488,31622,Липецкая область,658236.5718984964
3,815624.9233333333,1320054.2593539327,27469,Республика Адыгея,1176896.7957043878
81,1398141.5383695653,896006.1622857142,29065,Ставропольский край,928014.0998536587
13,1025828.2312359549,980853.4360034309,50413,Республика Коми,815619.8478959807
106,1092208.9657758623,1208615.4360517797,41901,Томская область,1121931.2703606961
35,635845.3537634409,11430611.705320511,27251,Брянская область,8664626.822415993
56,1102828.0348148148,2875967.316691177,43631,Ленинградская область,2306470.6716346154
89,2628498.238846154,1681186.5599543378,35219,Челябинская область,1770038.1612808458
17,453542.3723809524,1134874.9060439556,26958,Республика Северная Осетия — Алания,981980.3349999994
105,562626.8417391304,737364.6402372267,30371,Оренбургская область,490007.1017355373
108,1151993.4919512193,1248339.317275986,,Ханты-Мансийский автономный округ — Югра,1217458.2937831327
62,578400.6572839506,490745.8351585013,26712,Республика Мордовия,480884.9995343137
104,1728871.4888235293,1514392.3833744854,,Ямало-Ненецкий автономный округ,1409323.247008085
